77,C00569418,AMERICAN SOLUTIONS - PAC,QUARTERLY FILER
78,C00509455,AMERICAN SUNRISE,QUARTERLY FILER
79,C00541987,AMERICAN TIGER PAC,QUARTERLY FILER
80,C00523589,AMERICAN UNITY PAC INC,QUARTERLY FILER
81,C00512871,AMERICAN VALUES COALITION,QUARTERLY FILER
82,C00522441,AMERICAN VETO,QUARTERLY FILER
83,C00527564,AMERICAN WILD HORSE AND BURRO ASSOCIATION,QUARTERLY FILER
84,C00511915,AMERICAN WORKING FAMILIES,QUARTERLY FILER
85,C00566380,AMERICAN'S FOR FREEDOM OF CHOICE,QUARTERLY FILER
86,C00545327,AMERICANS AGAINST AMERICANS WHO DO NOT RECYCLE AND MISSPELL BENGAZI,QUARTERLY FILER
87,C00570382,AMERICANS AGAINST IMPERSONATORS,QUARTERLY FILER
88,C00560243,AMERICANS FOR A BETTER FUTURE,QUARTERLY FILER
89,C00570788,AMERICANS FOR A BETTER TOMORROW TODAY,QUARTERLY FILER
90,C00533125,AMERICANS FOR A BETTER TOMORROW PERIOD,QUARTERLY FILER
91,C00570481,AMERICANS FOR A BETTER YESTERDAY,QUARTERLY FILER
92,C00567255,"AMERICANS FOR A BETTER YESTERDAY, TOMORROW",QUARTERLY FILER
93,C00543058,AMERICANS FOR A GREATER VOICE,QUARTERLY FILER
94,C00570523,AMERICANS FOR A LIVING WAGE,QUARTERLY FILER
95,C00523852,AMERICANS FOR A STRONG NATIONAL DEFENSE,QUARTERLY FILER
96,C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,MONTHLY FILER
97,C00526558,AMERICANS FOR AFFORDABLE HOUSING AND ASSISTING THE SHELTERLESS,QUARTERLY FILER
98,C00518340,AMERICANS FOR AMERICA,QUARTERLY FILER
99,C00544999,AMERICANS FOR AMERICA POLITICAL ACTION COMMITTEE,QUARTERLY FILER
100,C00568527,AMERICANS FOR BETTER BREWING AKA SIX-PAC,QUARTERLY FILER
101,C00569723,AMERICANS FOR CANNABIS LEGALIZATION,QUARTERLY FILER
102,C00562413,AMERICANS FOR COMMON SENSE (AFCS),QUARTERLY FILER
103,C00524470,AMERICANS FOR CONSERVATIVE LEADERSHIP,QUARTERLY FILER
104,C00557785,AMERICANS FOR EXCELLENCE IN PUBLIC EDUCATION,QUARTERLY FILER
105,C00523787,AMERICANS FOR FLAT AND FAIR TAX EQUALITY,QUARTERLY FILER
106,C00541136,AMERICANS FOR FREEDOM AND PROGRESS,QUARTERLY FILER
107,C00513804,"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",QUARTERLY FILER
108,C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,QUARTERLY FILER
109,C00529032,AMERICANS FOR LOGIC,QUARTERLY FILER
110,C00550251,AMERICANS FOR MARCO RUBIO SUPER PAC,QUARTERLY FILER
111,C00512582,AMERICANS FOR MORE RHOMBUS,QUARTERLY FILER
112,C00485821,AMERICANS FOR NEW LEADERSHIP,QUARTERLY FILER
113,C00569913,AMERICANS FOR OUR FUTURE,QUARTERLY FILER
114,C00564781,AMERICANS FOR POSTERITY,QUARTERLY FILER
115,C00526608,AMERICANS FOR PRISON REFORM,QUARTERLY FILER
116,C00569178,AMERICANS FOR PROGRESS,QUARTERLY FILER
117,C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,QUARTERLY FILER
118,C00532838,AMERICANS FOR SOLUTIONS,QUARTERLY FILER
119,C00550558,AMERICANS FOR TAX REFORM PAC,QUARTERLY FILER
120,C00565010,AMERICANS FOR THE CONSERVATION OF LIBERTY,QUARTERLY FILER
121,C00568386,AMERICANS FOR THE EX-IM BANK,QUARTERLY FILER
122,C00522334,AMERICANS FOR THE WIN TOMORROW,QUARTERLY FILER
123,C00552802,AMERICANS IN ACTION,QUARTERLY FILER
124,C00542902,AMERICARISINGPAC.ORG,QUARTERLY FILER
125,C00559906,AMERICAS PAC,QUARTERLY FILER
126,C00539957,AMIGOS PAC,QUARTERLY FILER
127,C00562124,ARGUEMAX.COM,QUARTERLY FILER
128,C00558445,ARIZONA GRASSROOTS ACTION PAC,QUARTERLY FILER
129,C00526095,ARIZONA HORSE ASSOCIATION,QUARTERLY FILER
130,C00523480,ARIZONANS FOR JOBS,QUARTERLY FILER
131,C00547497,ARKANSAS HORIZON,QUARTERLY FILER
132,C00526780,ARKANSAS HORSE ASSOCIATION,QUARTERLY FILER
133,C00507533,ARTICLEIISUPERPAC,QUARTERLY FILER
134,C00541797,ASIAN AMERICAN SUPER PAC,QUARTERLY FILER
135,C00519777,ASIAN AMERICANS FOR PEACE AND PROSPERITY,QUARTERLY FILER
136,C00570291,ASSOCIATION PROMOTING GOVERNMENTAL OBJECTIVE VIEWS APGOV,QUARTERLY FILER
137,C00425645,"ATLAS PAC, FEDERAL",MONTHLY FILER
138,C00526350,AUTISM SUPER PAC; THE,QUARTERLY FILER
139,C00567982,B-PAC,QUARTERLY FILER
140,C00565150,BATTLEGROUND TENNESSEE PAC,QUARTERLY FILER
141,C00541391,BATTLEGROUND TEXAS,QUARTERLY FILER
142,C00543298,BEARDED ENTREPRENEURS FOR THE ADVANCEMENT OF A RESPONSIBLE DEMOCRACY,QUARTERLY FILER
143,C00569129,BEAT REID PAC,QUARTERLY FILER
144,C00557207,BELIEVE IN AMERICA SUPER PAC,QUARTERLY FILER
145,C00569681,BERGEN CARES,QUARTERLY FILER
146,C00565176,BETTER WAY SUPER PAC; THE,QUARTERLY FILER
147,C00567784,BLACK AMERICANS FOR A BETTER FUTURE,QUARTERLY FILER
148,C00528950,BLACK MEN VOTE,QUARTERLY FILER
149,C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,QUARTERLY FILER
150,C00553602,BLUE SOUTH,QUARTERLY FILER
151,C00535195,BLUE SOUTH PROJECT SUPERPAC,QUARTERLY FILER
152,C00567172,BLUEGRASS RURAL,QUARTERLY FILER
153,C00569426,BOLD AGENDA PAC,QUARTERLY FILER
154,C00564153,BRAT PAC,QUARTERLY FILER
155,C00568493,BRIAN TERRY SECURE BORDER PROJECT,QUARTERLY FILER
156,C00520684,BRIGHTER FUTURE FUND,QUARTERLY FILER
157,C00523779,BUILD THE KEYSTONE PIPELINE,QUARTERLY FILER
158,C00509679,BUILDING A BETTER BLUEGRASS INC,QUARTERLY FILER
159,C00559781,BUILDING A BETTER PA,QUARTERLY FILER
160,C00562652,BULL MOOSE PAC,QUARTERLY FILER
161,C00544304,CADET,QUARTERLY FILER
162,C00507707,CAIN CONNECTIONS PAC,QUARTERLY FILER
163,C00557157,CAL VOTERS FOR HONEST GOVERNMENT,QUARTERLY FILER
164,C00527093,CALIFORNIA HORSE ASOCIATION,QUARTERLY FILER
165,C00484295,CALIFORNIANS FOR FISCALLY CONSERVATIVE LEADERSHIP,QUARTERLY FILER
166,C00566679,CALIFORNIANS FOR INNOVATION,QUARTERLY FILER
167,C00564070,CAMBODIAN-AMERICANS POLITICAL ACTION COMMITTEE,QUARTERLY FILER
168,C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,MONTHLY FILER
169,C00562785,CAMPAIGN FOR JOBS AND OPPORTUNITY,QUARTERLY FILER
170,C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,MONTHLY FILER
171,C00556233,CAMPAIGNING FOR JUSTICE,QUARTERLY FILER
172,C00547182,CAPITALIST PAC,QUARTERLY FILER
173,C00493718,CARMEN'S LIST,QUARTERLY FILER
174,C00558882,CAROLINA CONSERVATIVES UNITED,QUARTERLY FILER
175,C00554394,CAROLINA PATRIOT ALLIANCE,QUARTERLY FILER
176,C00494021,CATHOLICVOTE.ORG CANDIDATE FUND,QUARTERLY FILER
177,C00519876,CATS FOR A BETTER TOMORROW TOMORROW,QUARTERLY FILER
178,C00502658,CAUSEPAC,QUARTERLY FILER
179,C00542779,CE ACTION COMMITTEE,QUARTERLY FILER
180,C00566257,CEILING PAC,QUARTERLY FILER
181,C00568444,CENTER FORWARD COMMITTEE,QUARTERLY FILER
182,C00522037,CHALLENGEDC,QUARTERLY FILER
183,C00567396,CHANGE CAMPAIGN SUPER PAC,QUARTERLY FILER
184,C00521757,CHARACTER COUNTS POLITICAL ACTION COMMITTEE,QUARTERLY FILER
185,C00523811,CHINA WATCH,QUARTERLY FILER
186,C00551291,CHOOSE YOUR MOVEMENT,QUARTERLY FILER
187,C00543850,CHRISTIAN SUPER PAC INC,QUARTERLY FILER
188,C00523084,CHRISTIANITY IN ACTION PAC,QUARTERLY FILER
189,C00554170,CHRISTIANS FOR,QUARTERLY FILER
190,C00513051,CHRISTIANS FOR A CHANGE,QUARTERLY FILER
191,C00492215,CHRISTINEPAC,QUARTERLY FILER
192,C00523845,CITIZEN LEGISLATURE ACT,QUARTERLY FILER
193,C00568071,CITIZEN SUNSHINE,QUARTERLY FILER
194,C00569517,CITIZEN SUPER PAC,QUARTERLY FILER
195,C00524082,CITIZENS 4 ETHICS IN GOVERNMENT,QUARTERLY FILER
196,C00491811,CITIZENS ALLIANCE FOR BETTER CANDIDATES,QUARTERLY FILER
197,C00567487,CITIZENS AND PUBLIC SAFETY PROPONENTS FOR TRUTH PAC,QUARTERLY FILER
198,C00488767,CITIZENS FOR A WORKING AMERICA PAC,QUARTERLY FILER
